ID,Total_Area_m2,Conditioned_Area_m2,Cooling_Load_kWh,Lighting_kWh,Equipment_kWh,Hot_Water_kWh,Applied_COP,Cooling_Energy_kWh,Total_Energy_kWh,EUI_Gross_kWh_m2,EUI_Cooling_kWh_m2,EUI_Lighting_kWh_m2,EUI_Equipment_kWh_m2,EUI_Hot_Water_kWh_m2
BIZ1,6646.37,6646.37,11572959.73,204196.89,322654.44,0,4.5,2571768.829,3098620.159,466.2124075,386.9433734,30.72306989,48.54596419,0
BIZ10,809.68,809.68,1928928.33,23333.65,39305.59,0,4.5,428650.74,491289.98,606.7705513,529.4075931,28.81836034,48.54459787,0
BIZ11,8962,8962,10287523.42,393343.34,522083.07,0,5,2057504.684,2972931.094,331.7262993,229.5809734,43.89012944,58.25519638,0
BIZ12,19016.5,19016.5,21457529.2,949531.93,832922.74,0,6.2,3460891.806,5243346.476,275.7261576,181.9941528,49.93200273,43.8000021,0
BIZ13,10292.55,10292.55,5582653.79,179351.39,390705.08,0,6.2,900428.0306,1470484.501,142.8688227,87.48347403,17.42536009,37.95998854,0
BIZ14,16845.12,16845.12,21102750.88,841110.77,737816.46,0,6.2,3403669.497,4982596.727,295.7887345,202.0567082,49.93201414,43.80001211,0
BIZ15,10102.42,10102.42,12400407.75,280241.24,672578.99,0,6.2,2000065.766,2952885.996,292.2949151,197.978877,27.74001081,66.57602733,0
BIZ16,32004.7,32004.7,115213000,1685628.76,6214801.23,0,6,19202166.67,27102596.66,846.8317671,599.9795863,52.66816311,194.1840177,0
BIZ2,20264.02,20264.02,18147782.37,889390.73,1180484.82,0,5,3629556.474,5699432.024,281.258705,179.1133484,43.89014273,58.25521392,0
BIZ3,10546.81,10546.81,4745716.82,197522.93,400357.03,0,6.2,765438.1968,1363318.157,129.2635552,72.57532816,18.72821545,37.96001161,0
BIZ4,11521.06,11521.06,14730286.07,319594.09,767025.82,0,6.2,2375852.592,3462472.502,300.5341958,206.2182292,27.73999007,66.57597652,0
BIZ5,1009.77,1009.77,1874142.75,29099.91,49018.88,0,4.5,416476.1667,494594.9567,489.8095177,412.4465637,28.81835467,48.54459927,0
BIZ6,1033.9,1033.9,2161447.98,29795.09,50189.9,0,4.5,480321.7733,560306.7633,541.9351614,464.5727569,28.81815456,48.54424993,0
BIZ7,9460.27,9460.27,5086302.09,162766.5,359111.95,0,6.2,820371.3048,1342249.755,141.8828168,86.71753606,17.20527004,37.96001066,0
BIZ8,4932.42,4932.42,7943594.69,246285.75,216040.13,0,6.2,1281224.95,1743550.83,353.4879086,259.7558501,49.93203134,43.80002717,0
BIZ9,1742.9,1742.9,4243063.16,50227.42,84608.22,0,4.5,942902.9244,1077738.564,618.3593806,540.9965715,28.81830283,48.54450628,0
CLB1,2584.39,2584.39,3618607.54,74477.68,125457.84,0,4.5,804135.0089,1004070.529,388.5135482,311.1507972,28.81828207,48.54446891,0
CLB10,5925.12,5925.12,4714531.3,208043.34,287640.74,0,4.75,992532.9053,1488216.985,251.1707755,167.5127095,35.11208887,48.54597713,0
CLB2,3064.67,3064.67,3059789.61,88318.55,148772.81,0,4.5,679953.2467,917044.6067,299.2311103,221.8683404,28.81829039,48.5444795,0
CLB3,10167.28,10167.28,11754492.36,312370.32,493580.83,0,4.5,2612109.413,3418060.563,336.1823972,256.9132957,30.72309605,48.54600542,0
CLB4,13253.11,13253.11,12672814.43,581680.71,772062.53,0,5,2534562.886,3888306.126,293.3882029,191.242877,43.89012918,58.2551967,0
CLB5,28286.95,28286.95,26894248.91,1241517.78,1647861.68,0,5,5378849.782,8268229.242,292.2983652,190.1530487,43.89012531,58.25519117,0
CLB6,15077.66,15077.66,19510602.85,752857.87,660401.64,0,6.2,3146871.427,4560130.937,302.4428815,208.7108628,49.93201001,43.80000875,0
CLB7,7950.31,7950.31,3614567.21,142072.06,301793.69,0,6.2,582994.7113,1026860.461,129.1598015,73.32980869,17.87000255,37.95999024,0
CLB8,306.62,306.62,1107955.66,8836.28,14884.74,0,4.5,246212.3689,269933.3889,880.351539,802.9886142,28.81834192,48.54458287,0
CLB9,459.63,459.63,1579104.73,13245.79,22312.56,0,4.5,350912.1622,386470.5122,840.8296069,763.4666193,28.81837565,48.54461197,0
FASS1,1503.03,1503.03,1605032.28,43314.75,72963.8,0,4.5,356673.84,472952.39,314.6659681,237.3032075,28.81828706,48.5444735,0
FASS10,1562.02,1562.02,2909540.62,45014.68,75827.33,0,4.5,646564.5822,767406.5922,491.2911437,413.9284915,28.81824817,48.54440404,0
FASS11,6185.67,6185.67,11203849.73,271489.68,360347.19,0,5,2240769.946,2872606.816,464.3970364,362.2517764,43.89010083,58.2551591,0
FASS12,8433.65,8433.65,3925448.27,163656.2,320141.23,0,6.2,633136.8177,1116934.248,132.4378232,75.07269305,19.40514487,37.9599853,0
FASS13,596.7,596.7,1509269.5,17195.76,28966.3,0,4.5,335393.2222,381555.2822,639.4424036,562.0801445,28.81809955,48.54415954,0
FASS14,767.92,767.92,2190474.7,22130.04,37278.1,0,4.5,486772.1556,546180.2956,711.246348,633.8839405,28.81815814,48.5442494,0
FASS2,9248.82,9248.82,7943098.48,461812.32,405098.53,0,6.2,1281144.916,2148055.766,232.2518728,138.5198237,49.93202592,43.80002314,0
FASS3,1578.08,1578.08,2755503.73,45477.61,76607.15,0,4.5,612334.1622,734418.9222,465.387637,388.024791,28.8183172,48.54452879,0
FASS4,520.97,520.97,873978.99,15013.53,25290.33,0,4.5,194217.5533,234521.4133,450.1629908,372.7998797,28.81841565,48.54469547,0
FASS5,1169,1169,1843280.79,33688.55,56748.46,0,4.5,409617.9533,500054.9633,427.763014,350.4003023,28.81826347,48.54444825,0
FASS6,7832.89,7832.89,6962681.73,391112.05,343080.75,0,6.2,1123013.182,1857205.982,237.1035444,143.3714992,49.93202381,43.80002145,0
FASS7,11353.48,11353.48,13569978.64,566902.06,497282.51,0,6.2,2188706.232,3252890.802,286.5104622,192.7784461,49.93200851,43.80000757,0
FASS8,9561.62,9561.62,4079056.12,189718.14,362959.11,0,6.2,657912.2774,1210589.527,126.609249,68.80761601,19.84163144,37.96000155,0
FASS9,7555.39,7555.39,2988155.29,148744.15,286802.44,0,6.2,481960.5306,917507.1206,121.4374269,63.79029152,19.68715712,37.95997824,0
FOE1,17279.25,17279.25,20765043.58,479326.4,1150383.35,0,6.2,3349200.577,4978910.327,288.1438909,193.8278905,27.74000029,66.57600012,0
FOE10,25935.18,25935.18,55096351.73,1365958.18,5036197.02,0,6,9182725.288,15584880.49,600.9166117,354.0644518,52.66815885,194.184001,0
FOE11,12050.06,12050.06,5035700.53,234210.95,457420.25,0,6.2,812209.7629,1503840.963,124.7994585,67.40296421,19.43649658,37.95999771,0
FOE12,6476.13,6476.13,2806728.18,125951.74,245833.92,0,6.2,452698.0935,824483.7535,127.3111802,69.90256427,19.44861206,37.96000389,0
FOE13,19567.87,19567.87,18519493.91,977063.05,857072.85,0,6.2,2987015.147,4821151.047,246.380983,152.6489672,49.93200844,43.80000736,0
FOE14,1331.75,1331.75,2708819.53,38378.64,64648.91,0,4.5,601959.8956,704987.4456,529.3692101,452.0066796,28.81820161,48.54432889,0
FOE15,3146.81,3146.81,4917562.47,87292.53,209502.07,0,6.2,793155.2371,1089949.837,346.3665862,252.0505646,27.74000655,66.57601508,0
FOE16,19251.35,19251.35,6793392.32,373683.69,730781.24,0,6.2,1095708.439,2200173.369,114.2867055,56.91592739,19.41077846,37.95999969,0
FOE17,1670.44,1670.44,3209072.79,48139.27,81090.72,0,4.5,713127.2867,842357.2767,504.2726926,426.9098481,28.81831733,48.54452719,0
FOE18,16387.86,16387.86,13906160.3,818278.85,717788.47,0,6.2,2242929.081,3778996.401,230.597308,136.865282,49.9320137,43.80001233,0
FOE19,7070.93,7070.93,2314721.34,135339.08,268412.6,0,6.2,373342.1516,777093.8316,109.8998055,52.79958246,19.14020928,37.96001375,0
FOE2,2206.65,2206.65,3734569.21,63591.83,107120.59,0,4.5,829904.2689,1000616.689,453.4550966,376.0923884,28.81826751,48.54444067,0
FOE20,4012.15,4012.15,1414314.25,79700.15,152301.32,0,6.2,228115.2016,460116.6716,114.6808249,56.8561,19.86469848,37.96002642,0
FOE21,4372.07,4372.07,5506071.91,121281.18,291074.84,0,6.2,888076.1145,1300432.135,297.4408311,203.1248618,27.73999044,66.57597888,0
FOE22,8778.23,8778.23,5294764.56,308222.02,426147.78,0,4.75,1114687.276,1849057.076,210.6412199,126.9831476,35.11209207,48.54598023,0
FOE23,8774.73,8774.73,4810890.09,135832.16,333088.67,0,6.2,775950.0145,1244870.845,141.8699885,88.43007301,15.47992474,37.95999079,0
FOE24,7417.46,7417.46,7049069.93,205760.34,493824.82,0,6.2,1136946.763,1836531.923,247.5957973,153.279797,27.73999995,66.57600041,0
FOE25,12245.44,12245.44,4765360.76,239151.89,464836.94,0,6.2,768606.5742,1472595.404,120.2566346,62.76675842,19.52987316,37.96000307,0
FOE26,18548.61,18548.61,23943005.65,514538.55,1234892.52,0,6.2,3861775.105,5611206.175,302.513567,208.1975471,27.74000585,66.57601405,0
FOE28,1591.55,1591.55,568715.22,8381.4,73381.1,13420.14,3.2,177723.5062,272906.1463,171.4719275,111.6669324,5.26618705,46.10668845,8.432119632
FOE29,1556.59,1556.59,549021.53,8197.32,71769.48,13125.4,3.2,171569.2281,264661.4281,170.0264219,110.2212067,5.266203689,46.10686179,8.432149763
FOE3,8643.34,8643.34,10470109.61,239766.12,575438.7,0,6.2,1688727.356,2503932.176,289.6949763,195.3790267,27.73998477,66.57596485,0
FOE30,4298.22,4298.22,1465654.66,22635.3,198177.35,36243.23,3.2,458017.0812,715072.9612,166.3649048,106.5597111,5.266203219,46.1068419,8.432148657
FOE31,5506.34,5506.34,1730227.85,28997.49,253879.88,46430.26,3.2,540696.2031,870003.8331,158.0003838,98.19520827,5.266200416,46.10682958,8.43214549
FOE32,4276.67,4276.67,1214137.61,22521.78,197183.47,36061.46,3.2,379418.0031,635184.7131,148.5231999,88.71809214,5.266195428,46.106777,8.432135283
FOE33,4870.57,4870.57,4286978.2,213769.85,283735.88,0,5,857395.64,1354901.37,278.1812745,176.0359958,43.89010937,58.25516931,0
FOE4,1911.57,1911.57,1976174.25,53026.84,127264.4,0,6.2,318737.7823,499029.0223,261.0571532,166.7413604,27.73994151,66.57585126,0
FOE5,12013.06,12013.06,13676243.17,333242.27,799781.44,0,6.2,2205845.673,3338869.383,277.9366275,183.6206323,27.7399988,66.57599646,0
FOE6,8871.33,8871.33,11765242.08,442963.05,388564.08,0,6.2,1897619.69,2729146.82,307.6367152,213.9047573,49.93197751,43.79998039,0
